Año,Mes,División,Grupo,Clase,Subclase,Producto,Glosa,Ponderación,Índice,Variación Mensual  ( % ),Variación Acumulada   ( % ),Variación 12 Meses   ( % ),Incidencia Mensual   ( % ),Incidencia Acumulada    ( % ),Incidencia 12 Meses    ( % )
2019,1,9,4, , , ,"PERIÓDICOS, LIBROS Y ÚTILES DE OFICINA",0.81729,101.15,-0.3,-0.3, ,-0.002,-0.002, 
2019,1,10,4, , , ,ENSEÑANZA SUPERIOR (TERCIARIA),3.52689,100.73,0,0, ,0,0, 
2019,1,12,4, , , ,SERVICIOS FINANCIEROS,0.23354,101.35,0,0, ,0,0, 
2019,1,5,5, , , ,HERRAMIENTAS Y EQUIPOS PARA EL HOGAR Y EL JARDÍN,0.31476,100.18,0.5,0.5, ,0.001,0.001, 
2019,1,9,5, , , ,PAQUETES TURÍSTICOS,0.76585,102.05,-7.9,-7.9, ,-0.066,-0.066, 
2019,1,10,5, , , ,ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL U OTRAS ENSEÑANZAS,0.53344,103.75,-0.5,-0.5, ,-0.003,-0.003, 
2019,1,12,5, , , ,OTROS SERVICIOS,0.90116,102.51,0.8,0.8, ,0.007,0.007, 
2019,1,5,6, , , ,BIENES Y SERVICIOS PARA LA CONSERVACIÓN CORRIENTE DEL HOGAR,3.79413,101.03,0.6,0.6, ,0.022,0.022, 
2019,1,1,1,1, , ,PAN Y CEREALES,4.03457,101.58,0.3,0.3, ,0.011,0.011, 
2019,1,2,1,1, , ,BEBIDAS DESTILADAS,0.50926,101.01,1.5,1.5, ,0.008,0.008, 
2019,1,3,1,1, , ,MATERIALES PARA VESTUARIO,0.03406,101.92,0.4,0.4, ,0,0, 
2019,1,4,1,1, , ,ARRIENDOS EFECTIVOS,5.52872,102.11,0.3,0.3, ,0.019,0.019, 
2019,1,5,1,1, , ,MUEBLES Y ARTÍCULOS PARA EL HOGAR,0.98359,99.45,-0.4,-0.4, ,-0.004,-0.004, 
2019,1,6,1,1, , ,PRODUCTOS FARMACÉUTICOS,2.42319,100.74,-0.2,-0.2, ,-0.004,-0.004, 
2019,1,7,1,1, , ,VEHÍCULOS A MOTOR,3.12888,99.41,0.7,0.7, ,0.023,0.023, 
2019,1,8,1,1, , ,EQUIPOS TELEFÓNICOS,0.61378,94.82,-1,-1, ,-0.006,-0.006, 
2019,1,9,1,1, , ,"EQUIPOS PARA LA RECEPCIÓN, GRABACIÓN Y REPRODUCCIÓN DE SONIDOS E IMÁGENES",0.48354,93.84,1.8,1.8, ,0.008,0.008, 
2019,1,10,1,1, , ,ENSEÑANZA PRE-ESCOLAR Y ENSEÑANZA BÁSICA (PRIMARIA),1.72331,100.61,0,0, ,0,0, 
2019,1,11,1,1, , ,"RESTAURANTES, CAFÉS Y ESTABLECIMIENTOS SIMILARES",5.86871,102.1,0.4,0.4, ,0.025,0.025, 
2019,1,12,1,1, , ,SALONES DE PELUQUERÍA Y ESTABLECIMIENTOS DE CUIDADOS PERSONALES,0.39909,101.69,0.1,0.1, ,0,0, 
2019,1,1,2,1, , ,"CAFÉ, TÉ Y CACAO",0.38216,99.88,-0.4,-0.4, ,-0.002,-0.002, 
2019,1,2,2,1, , ,TABACO,1.90687,102.67,2.7,2.7, ,0.051,0.051, 
2019,1,3,2,1, , ,ZAPATOS Y OTROS CALZADOS,1.20103,98.32,-0.8,-0.8, ,-0.009,-0.009, 
2019,1,4,2,1, , ,MATERIALES PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA,0.82245,103.72,0.5,0.5, ,0.004,0.004, 
2019,1,5,2,1, , ,TEXTILES PARA EL HOGAR,0.26025,96.47,1.5,1.5, ,0.004,0.004, 
2019,1,6,2,1, , ,SERVICIOS MÉDICOS,1.69192,100.59,0,0, ,0,0, 
2019,1,7,2,1, , ,PIEZAS DE REPUESTOS Y ACCESORIOS PARA VEHÍCULOS DE TRANSPORTE PERSONAL,0.39799,96.85,-2.2,-2.2, ,-0.008,-0.008, 
2019,1,8,2,1, , ,SERVICIOS DE TELECOMUNICACIONES,4.8411,97.95,0,0, ,0,0, 
2019,1,9,2,1, , ,JUGUETES Y CONSOLAS DE VIDEOJUEGO,0.45272,98.91,0.2,0.2, ,0.001,0.001, 
2019,1,10,2,1, , ,ENSEÑANZA MEDIA (SECUNDARIA),0.64279,100.44,0,0, ,0,0, 
2019,1,11,2,1, , ,SERVICIOS DE ALOJAMIENTO,0.51476,100.41,1.2,1.2, ,0.006,0.006, 
2019,1,12,2,1, , ,JOYERÍA Y RELOJES,0.24136,101.09,0.4,0.4, ,0.001,0.001, 
2019,1,4,3,1, , ,SUMINISTRO DE AGUA,1.65637,102.5,0,0, ,0,0, 
2019,1,5,3,1, , ,GRANDES ARTEFACTOS ELÉCTRICOS O NO PARA EL HOGAR,0.6103,100.95,1.6,1.6, ,0.01,0.01, 
2019,1,6,3,1, , ,SERVICIOS DE HOSPITAL,0.97156,101.51,0.9,0.9, ,0.008,0.008, 
2019,1,7,3,1, , ,TRANSPORTE DE PASAJEROS POR VÍAS URBANAS Y CARRETERAS,2.30383,106.47,2,2, ,0.047,0.047, 
2019,1,9,3,1, , ,SERVICIOS DE RECREACIÓN Y DEPORTIVOS,1.16052,99.59,-0.4,-0.4, ,-0.005,-0.005, 
2019,1,10,3,1, , ,ENSEÑANZA POSTSECUNDARIA NO TERCIARIA,0.16925,100.19,0,0, ,0,0, 
2019,1,12,3,1, , ,SEGUROS RELACIONADOS CON EL TRANSPORTE,0.61603,103.73,0.3,0.3, ,0.002,0.002, 
2019,1,4,4,1, , ,ELECTRICIDAD,2.27238,98.03,1,1, ,0.023,0.023, 
2019,1,5,4,1, , ,"ARTÍCULOS DE VIDRIO Y CRISTAL, VAJILLA Y UTENSILIOS PARA EL HOGAR",0.28175,101.24,1.5,1.5, ,0.004,0.004, 
2019,1,9,4,1, , ,"LIBROS, DICCIONARIOS, ENCICLOPEDIAS Y OTROS SIMILARES",0.40005,100.78,-0.2,-0.2, ,-0.001,-0.001, 
2019,1,10,4,1, , ,ENSEÑANZA SUPERIOR (TERCIARIA),3.52689,100.73,0,0, ,0,0, 
2019,1,12,4,1, , ,OTROS SERVICIOS FINANCIEROS,0.23354,101.35,0,0, ,0,0, 
2019,1,5,5,1, , ,HERRAMIENTAS Y ACCESORIOS DIVERSOS,0.31476,100.18,0.5,0.5, ,0.001,0.001, 
2019,1,9,5,1, , ,PAQUETES TURÍSTICOS,0.76585,102.05,-7.9,-7.9, ,-0.066,-0.066, 
2019,1,10,5,1, , ,ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL,0.53344,103.75,-0.5,-0.5, ,-0.003,-0.003, 
2019,1,12,5,1, , ,OTROS SERVICIOS,0.90116,102.51,0.8,0.8, ,0.007,0.007, 
2019,1,5,6,1, , ,BIENES NO DURABLES PARA EL HOGAR,1.14683,100.36,1.4,1.4, ,0.016,0.016, 
2019,1,1,1,2, , ,CARNES,4.39152,99.31,0.2,0.2, ,0.008,0.008, 
2019,1,2,1,2, , ,VINOS,0.96935,101.85,0.5,0.5, ,0.005,0.005, 
2019,1,3,1,2, , ,VESTUARIO,2.09326,98.09,0.1,0.1, ,0.003,0.003, 
2019,1,5,1,2, , ,SERVICIO DE REPARACIÓN DE MUEBLES,0.02258,101.56,0,0, ,0,0, 
2019,1,6,1,2, , ,OTROS PRODUCTOS MÉDICOS,0.07603,96.19,-4.4,-4.4, ,-0.003,-0.003, 
2019,1,7,1,2, , ,MOTOCICLETAS,0.05903,101.69,2.1,2.1, ,0.001,0.001, 
2019,1,9,1,2, , ,EQUIPOS FOTOGRÁFICOS,0.06172,99.62,3.3,3.3, ,0.002,0.002, 
2019,1,12,1,2, , ,PRODUCTOS PARA EL CUIDADO E HIGIENE PERSONAL,2.38399,101.28,0.9,0.9, ,0.022,0.022, 
2019,1,1,2,2, , ,"AGUAS MINERALES, REFRESCOS, GASEOSAS Y JUGOS DE FRUTA",1.78184,102.36,-0.3,-0.3, ,-0.005,-0.005, 
2019,1,4,2,2, , ,SERVICIOS PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA,0.8895,103.22,0.3,0.3, ,0.003,0.003, 
2019,1,6,2,2, , ,SERVICIOS DENTALES,1.26413,101.83,1.4,1.4, ,0.018,0.018, 
2019,1,7,2,2, , ,COMBUSTIBLES Y LUBRICANTES PARA VEHÍCULOS DE TRANSPORTE PERSONAL,3.15228,99.81,-3.3,-3.3, ,-0.107,-0.107, 
2019,1,9,2,2, , ,"EQUIPOS DEPORTIVOS, CAMPING Y RECREACIÓN",0.29935,98.92,-0.5,-0.5, ,-0.002,-0.002, 
2019,1,12,2,2, , ,OTROS ARTÍCULOS PERSONALES,0.37743,98.36,1.4,1.4, ,0.005,0.005, 
2019,1,4,3,2, , ,SERVICIO DE RETIRO DE BASURA,0.09053,102.75,0,0, ,0,0, 
2019,1,5,3,2, , ,PEQUEÑOS ARTEFACTOS PARA EL HOGAR,0.21586,97.19,0.3,0.3, ,0.001,0.001, 
2019,1,7,3,2, , ,TRANSPORTE DE PASAJEROS POR AIRE,0.75389,88.98,-4.5,-4.5, ,-0.031,-0.031, 
2019,1,9,3,2, , ,SERVICIOS CULTURALES,0.88753,101.52,0,0, ,0,0, 
2019,1,4,4,2, , ,GAS,1.61066,100.86,-2.7,-2.7, ,-0.044,-0.044, 
2019,1,9,4,2, , ,DIARIOS,0.0714,99.99,0,0, ,0,0, 
2019,1,5,6,2, , ,SERVICIOS DOMÉSTICOS PARA EL HOGAR,2.6473,101.32,0.2,0.2, ,0.006,0.006, 
2019,1,1,1,3, , ,PESCADOS Y MARISCOS,0.57242,99.82,3.4,3.4, ,0.019,0.019, 
2019,1,2,1,3, , ,CERVEZAS,1.39219,101.8,1.2,1.2, ,0.016,0.016, 
2019,1,3,1,3, , ,ARTÍCULOS Y ACCESORIOS DE VESTIR,0.11757,100.83,0.2,0.2, ,0,0, 
2019,1,6,1,3, , ,ARTEFACTOS Y ARTÍCULOS TERAPÉUTICOS,0.39942,101.46,0.7,0.7, ,0.003,0.003, 
2019,1,7,1,3, , ,BICICLETAS,0.06915,97.72,0.6,0.6, ,0,0, 
2019,1,9,1,3, , ,EQUIPOS DE PROCESAMIENTO INFORMÁTICO,0.46834,97.35,0.6,0.6, ,0.003,0.003, 
2019,1,6,2,3, , ,SERVICIOS PARAMÉDICOS,0.94153,100.03,-0.5,-0.5, ,-0.005,-0.005, 
2019,1,7,2,3, , ,CONSERVACIÓN Y REPARACIÓN DE VEHÍCULOS DE TRANSPORTE PERSONAL,0.89246,101.22,0.2,0.2, ,0.002,0.002, 
2019,1,9,2,3, , ,JARDINERÍA Y FLORES,0.11965,99.64,-1,-1, ,-0.001,-0.001, 
2019,1,4,3,3, , ,OTROS SERVICIOS RELACIONADOS CON LA VIVIENDA,1.45144,105.66,3.5,3.5, ,0.051,0.051, 
2019,1,5,3,3, , ,REPARACIÓN DE ARTEFACTOS PARA EL HOGAR,0.03963,101.81,0,0, ,0,0, 
2019,1,7,3,3, , ,TRANSPORTE COMBINADO DE PASAJEROS,1.26432,102.68,0,0, ,0,0, 
2019,1,9,3,3, , ,JUEGOS DE AZAR,0.02478,100,0,0, ,0,0, 
2019,1,4,4,3, , ,OTROS COMBUSTIBLES DE USO DOMÉSTICO,0.50515,96.38,-1.1,-1.1, ,-0.005,-0.005, 
2019,1,9,4,3, , ,ARTÍCULOS ESCOLARES Y DE ESCRITORIO,0.34584,101.82,-0.5,-0.5, ,-0.002,-0.002, 
2019,1,1,1,4, , ,"PRODUCTOS LÁCTEOS, QUESOS Y HUEVOS",2.42231,99.54,-0.8,-0.8, ,-0.02,-0.02, 
2019,1,3,1,4, , ,LIMPIEZA Y REPARACIÓN DE VESTUARIO,0.06004,101.57,0.4,0.4, ,0,0, 
2019,1,9,1,4, , ,MEDIOS PREGRABADOS Y PARA GRABACIÓN,0.04773,95.52,1.5,1.5, ,0.001,0.001, 
2019,1,7,2,4, , ,OTROS SERVICIOS RELATIVOS A VEHÍCULOS DE TRANSPORTE PERSONAL,1.09965,104.11,4.3,4.3, ,0.047,0.047, 
2019,1,9,2,4, , ,MASCOTAS Y PRODUCTOS RELACIONADOS,0.75279,102.34,1.3,1.3, ,0.01,0.01, 
2019,1,1,1,5, , ,ACEITES Y GRASAS,0.53071,101.18,0.5,0.5, ,0.002,0.002, 
2019,1,9,2,5, , ,SERVICIOS VETERINARIOS,0.24731,102.56,1,1, ,0.002,0.002, 
2019,1,1,1,6, , ,FRUTAS,0.97316,102.16,-4.2,-4.2, ,-0.043,-0.043, 
2019,1,1,1,7, , ,"HORTALIZAS, LEGUMBRES Y TUBÉRCULOS",2.5863,99.68,-0.9,-0.9, ,-0.023,-0.023, 
2019,1,1,1,8, , ,"AZÚCAR, MERMELADA, MIEL, CHOCOLATE Y DULCES DE AZÚCAR",0.92862,100.66,-0.2,-0.2, ,-0.001,-0.001, 
2019,1,1,1,9, , ,OTROS PRODUCTOS ALIMENTICIOS,0.6977,101.28,0.2,0.2, ,0.001,0.001, 
2019,1,1,1,1,1, ,ARROZ,0.18033,98.62,-1.1,-1.1, ,-0.002,-0.002, 
2019,1,2,1,1,1, ,DESTILADOS,0.50926,101.01,1.5,1.5, ,0.008,0.008, 
2019,1,3,1,1,1, ,TELAS PARA CONFECCIÓN DE VESTUARIO,0.03406,101.92,0.4,0.4, ,0,0, 
2019,1,4,1,1,1, ,ARRIENDO EFECTIVO,5.52872,102.11,0.3,0.3, ,0.019,0.019, 
2019,1,5,1,1,1, ,MUEBLES PARA EL HOGAR,0.81282,99.72,0.5,0.5, ,0.004,0.004, 
2019,1,6,1,1,1, ,MEDICAMENTOS,2.42319,100.74,-0.2,-0.2, ,-0.004,-0.004, 
2019,1,7,1,1,1, ,AUTOMÓVIL NUEVO,2.85541,99.85,1,1, ,0.027,0.027, 
2019,1,8,1,1,1, ,EQUIPOS TELEFÓNICOS,0.61378,94.82,-1,-1, ,-0.006,-0.006, 
2019,1,9,1,1,1, ,TELEVISORES,0.40468,93.78,1.4,1.4, ,0.005,0.005, 
2019,1,10,1,1,1, ,SERVICIOS DE EDUCACIÓN PRE - ESCOLAR Y ENSEÑANZA BÁSICA,1.72331,100.61,0,0, ,0,0, 
2019,1,11,1,1,1, ,ALIMENTOS Y BEBESTIBLES CONSUMIDOS FUERA DEL HOGAR,4.26808,102.26,0.3,0.3, ,0.014,0.014, 
2019,1,12,1,1,1, ,SERVICIOS DE PELUQUERÍA Y CUIDADO PERSONAL,0.39909,101.69,0.1,0.1, ,0,0, 
2019,1,1,2,1,1, ,CAFÉ Y SUCEDÁNEOS,0.15522,100.38,1.4,1.4, ,0.002,0.002, 
2019,1,2,2,1,1, ,CIGARRILLOS,1.90687,102.67,2.7,2.7, ,0.051,0.051, 
2019,1,3,2,1,1, ,CALZADO PARA HOMBRE,0.38761,97.91,-0.5,-0.5, ,-0.002,-0.002, 
2019,1,4,2,1,1, ,MATERIALES PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA,0.82245,103.72,0.5,0.5, ,0.004,0.004, 
2019,1,5,2,1,1, ,TEXTILES PARA EL HOGAR,0.26025,96.47,1.5,1.5, ,0.004,0.004, 
2019,1,6,2,1,1, ,SERVICIOS MÉDICOS,1.69192,100.59,0,0, ,0,0, 
2019,1,7,2,1,1, ,REPUESTOS Y ACCESORIOS PARA EL AUTOMÓVIL,0.39799,96.85,-2.2,-2.2, ,-0.008,-0.008, 
2019,1,8,2,1,1, ,SERVICIOS DE TELECOMUNICACIONES,4.8411,97.95,0,0, ,0,0, 
2019,1,9,2,1,1, ,JUGUETES Y CONSOLAS DE VIDEOJUEGO,0.45272,98.91,0.2,0.2, ,0.001,0.001, 
2019,1,10,2,1,1, ,SERVICIOS DE EDUCACIÓN DE LA ENSEÑANZA MEDIA,0.64279,100.44,0,0, ,0,0, 
2019,1,11,2,1,1, ,SERVICIOS DE ALOJAMIENTO,0.51476,100.41,1.2,1.2, ,0.006,0.006, 
2019,1,12,2,1,1, ,JOYERÍA Y RELOJES,0.24136,101.09,0.4,0.4, ,0.001,0.001, 
2019,1,4,3,1,1, ,SUMINISTRO DE AGUA Y ALCANTARILLADO,1.65637,102.5,0,0, ,0,0, 
2019,1,5,3,1,1, ,LÍNEA BLANCA,0.6103,100.95,1.6,1.6, ,0.01,0.01, 
2019,1,6,3,1,1, ,SERVICIOS DE HOSPITALIZACIÓN,0.97156,101.51,0.9,0.9, ,0.008,0.008, 
2019,1,7,3,1,1, ,SERVICIOS DE TRANSPORTE DE PASAJEROS POR VÍAS URBANAS,1.81018,104.94,2,2, ,0.037,0.037, 
2019,1,9,3,1,1, ,SERVICIOS PRESTADOS POR RECINTOS DE RECREACIÓN Y DEPORTIVOS,0.84884,98.95,-0.6,-0.6, ,-0.005,-0.005, 
2019,1,10,3,1,1, ,SERVICIOS DE PRE UNIVERSITARIO,0.16925,100.19,0,0, ,0,0, 
2019,1,12,3,1,1, ,SEGUROS RELACIONADOS CON EL TRANSPORTE,0.61603,103.73,0.3,0.3, ,0.002,0.002, 
2019,1,4,4,1,1, ,ELECTRICIDAD,2.27238,98.03,1,1, ,0.023,0.023, 
2019,1,5,4,1,1, ,ARTÍCULOS Y UTENSILIOS PARA EL HOGAR,0.28175,101.24,1.5,1.5, ,0.004,0.004, 
2019,1,9,4,1,1, ,TEXTOS ESCOLARES,0.17324,100.38,0,0, ,0,0, 
2019,1,10,4,1,1, ,SERVICIOS DE EDUCACIÓN SUPERIOR,3.52689,100.73,0,0, ,0,0, 
2019,1,12,4,1,1, ,GASTOS EN ADMINISTRACIÓN DE LOS SERVICIOS FINANCIEROS,0.23354,101.35,0,0, ,0,0, 
2019,1,5,5,1,1, ,HERRAMIENTAS,0.10642,99.2,1.7,1.7, ,0.002,0.002, 
2019,1,9,5,1,1, ,SERVICIOS DE VIAJES CON TODO INCLUIDO,0.76585,102.05,-7.9,-7.9, ,-0.066,-0.066, 
2019,1,10,5,1,1, ,SERVICIOS DE ENSEÑANZA NO ATRIBUIBLE A NINGÚN NIVEL,0.53344,103.75,-0.5,-0.5, ,-0.003,-0.003, 
2019,1,12,5,1,1, ,OTROS SERVICIOS,0.90116,102.51,0.8,0.8, ,0.007,0.007, 
2019,1,5,6,1,1, ,PRODUCTOS DE LIMPIEZA PARA EL HOGAR,0.8504,99.83,1.7,1.7, ,0.014,0.014, 
2019,1,1,1,2,1, ,"CARNE DE VACUNO FRESCA, REFRIGERADA O CONGELADA",1.83118,98.57,-0.2,-0.2, ,-0.004,-0.004, 
2019,1,2,1,2,1, ,VINOS,0.96935,101.85,0.5,0.5, ,0.005,0.005, 
2019,1,3,1,2,1, ,VESTUARIO PARA HOMBRE,0.64714,96.28,-0.8,-0.8, ,-0.005,-0.005, 
2019,1,5,1,2,1, ,SERVICIO DE REPARACIÓN DE MUEBLES,0.02258,101.56,0,0, ,0,0, 
2019,1,6,1,2,1, ,OTROS PRODUCTOS MÉDICOS,0.07603,96.19,-4.4,-4.4, ,-0.003,-0.003, 
2019,1,7,1,2,1, ,MOTOCICLETA,0.05903,101.69,2.1,2.1, ,0.001,0.001, 
2019,1,9,1,2,1, ,CÁMARAS,0.06172,99.62,3.3,3.3, ,0.002,0.002, 
2019,1,12,1,2,1, ,PRODUCTOS PARA EL CUIDADO PERSONAL,0.52981,101.33,1.6,1.6, ,0.009,0.009, 
2019,1,1,2,2,1, ,AGUA MINERAL Y PURIFICADA,0.21102,100.72,0.1,0.1, ,0,0, 
2019,1,4,2,2,1, ,SERVICIOS PARA LA CONSERVACIÓN Y REPARACIÓN DE LA VIVIENDA,0.8895,103.22,0.3,0.3, ,0.003,0.003, 
2019,1,6,2,2,1, ,SERVICIOS DENTALES,1.26413,101.83,1.4,1.4, ,0.018,0.018, 
2019,1,7,2,2,1, ,COMBUSTIBLES PARA EL AUTOMÓVIL,3.11474,99.83,-3.3,-3.3, ,-0.107,-0.107, 
2019,1,9,2,2,1, ,"EQUIPO DE DEPORTES, CAMPING Y RECREACIÓN",0.29935,98.92,-0.5,-0.5, ,-0.002,-0.002, 
2019,1,12,2,2,1, ,OTROS ARTÍCULOS PERSONALES,0.37743,98.36,1.4,1.4, ,0.005,0.005, 
2019,1,4,3,2,1, ,SERVICIO DE RETIRO DE BASURA,0.09053,102.75,0,0, ,0,0, 
2019,1,5,3,2,1, ,ELECTRODOMÉSTICOS,0.21586,97.19,0.3,0.3, ,0.001,0.001, 
2019,1,7,3,2,1, ,SERVICIOS DE TRANSPORTE DE PASAJEROS POR VÍA AÉREA,0.75389,88.98,-4.5,-4.5, ,-0.031,-0.031, 
2019,1,9,3,2,1, ,SERVICIOS PRESTADOS POR ESTABLECIMIENTOS CULTURALES,0.49267,102.35,0.1,0.1, ,0,0, 
2019,1,4,4,2,1, ,GAS POR RED,0.46326,104.04,-3.9,-3.9, ,-0.02,-0.02, 
2019,1,9,4,2,1, ,DIARIOS,0.0714,99.99,0,0, ,0,0, 
2019,1,5,6,2,1, ,SERVICIOS DOMÉSTICOS,2.6473,101.32,0.2,0.2, ,0.006,0.006, 
2019,1,1,1,3,1, ,"PESCADOS FRESCOS, REFRIGERADOS O CONGELADOS",0.26577,100.64,6.8,6.8, ,0.017,0.017, 
2019,1,2,1,3,1, ,CERVEZAS,1.39219,101.8,1.2,1.2, ,0.016,0.016, 
2019,1,3,1,3,1, ,ARTÍCULOS Y ACCESORIOS DE VESTIR,0.11757,100.83,0.2,0.2, ,0,0, 
