Mes,ipeco,clasificacion
2015-01-01,59.34220839363999,Pesimista
2015-02-01,58.405196447159994,Pesimista
2015-03-01,61.81456521628,Neutral
2015-04-01,55.76350011612,Pesimista
2015-05-01,58.65356105948,Pesimista
2015-06-01,55.69576431276,Pesimista
2015-07-01,55.882037772,Pesimista
2015-08-01,50.000312180239995,Muy pesimista
2015-09-01,56.632776259239996,Pesimista
2015-10-01,74.57711949936,Muy optimista
2015-11-01,52.81134801968,Muy pesimista
2015-12-01,59.30269584168,Pesimista
2016-01-01,56.49730465252,Pesimista
2016-02-01,50.58171115908,Muy pesimista
2016-03-01,56.13040238432,Pesimista
2016-04-01,51.3380942966,Muy pesimista
2016-05-01,54.753107715999995,Pesimista
2016-06-01,59.844582268559996,Pesimista
2016-07-01,53.889476223159996,Pesimista
2016-08-01,54.820843519360004,Pesimista
2016-09-01,52.19608113916,Muy pesimista
2016-10-01,53.7088474142,Pesimista
2016-11-01,57.959269075040005,Pesimista
2016-12-01,62.63868415716,Neutral
2017-01-01,62.80237901528,Neutral
2017-02-01,56.378766996639996,Pesimista
2017-03-01,59.24624933887999,Pesimista
2017-04-01,58.122963933159994,Pesimista
2017-05-01,58.10038533204,Pesimista
2017-06-01,72.52246679743999,Optimista
2017-07-01,61.10898393128,Neutral
2017-08-01,60.33566684292,Neutral
2017-09-01,63.20879383544,Neutral
2017-10-01,61.66215965871999,Neutral
2018-01-01,65.5626130022,Neutral
2018-02-01,65.1674874826,Neutral
2018-03-01,63.225727786280004,Neutral
2018-04-01,65.48923254856,Neutral
2018-05-01,68.00110192316,Optimista
2018-06-01,56.96581062576,Pesimista
2018-07-01,60.2284184876,Neutral
2018-08-01,61.543622002839996,Neutral
2018-09-01,52.81134801968,Muy pesimista
2018-10-01,56.21507213852,Pesimista
2018-11-01,52.788769418559994,Muy pesimista
2018-12-01,47.832766472719996,Muy pesimista
2019-01-01,52.39928854924,Muy pesimista
2019-02-01,49.29473089524,Muy pesimista
2019-03-01,52.51218155484,Muy pesimista
2019-04-01,52.647653161559994,Muy pesimista
2019-05-01,55.49255690268,Pesimista
2019-06-01,53.08793588339999,Pesimista
2019-07-01,55.59416060771999,Pesimista
2019-08-01,54.74746306572,Pesimista
2019-09-01,55.36837459652,Pesimista
2019-10-01,37.10228629044,Muy pesimista
2019-11-01,39.03840133648,Muy pesimista
2019-12-01,27.083032043439996,Muy pesimista
2020-01-01,35.57823071484,Muy pesimista
2020-02-01,40.443919256200004,Muy pesimista
2020-03-01,38.507804210159996,Muy pesimista
2020-04-01,28.00311003908,Muy pesimista
2020-05-01,28.957055936399996,Muy pesimista
2020-06-01,35.57258606456,Muy pesimista
2020-07-01,34.99118708572,Muy pesimista
2020-08-01,42.31794314916,Muy pesimista
2020-09-01,40.195554643879994,Muy pesimista
2020-10-01,43.07432628668,Muy pesimista
2020-11-01,44.59838186228,Muy pesimista
2020-12-01,37.81351222572,Muy pesimista
2021-01-01,40.04314908632,Muy pesimista
2021-02-01,49.04636628292,Muy pesimista
