month,year,fuente,sentimiento,response,empresa,texto
.,2017,memoria,positivo,1,bupa chile,"Pero para mejorar nuestros servicios, estar a la
vanguardia de lo que nuestros clientes necesitan, crear empleos
y aportar a la salud del país, necesitamos crecer. Y en 2017
lo conseguimos, gracias a una mayor actividad en nuestros
prestadores: en la red de centros médicos ambulatorios
IntegraMédica, nuestras Clínicas Regionales (Arica, Antofagasta
y Reñaca) y la unidad de atención domiciliaria Clinical Service,
así como también mayores ingresos en Isapre CruzBlanca y
Seguros Bupa. El desempeño antes mencionado nos permitió
cerrar el año con ingresos consolidados que aumentaron un
6,6%, respecto de 2016, alcanzando los $790.324 millones.
Mientras que el EBITDA logró un crecimiento de 20% respecto
de 2016, alcanzando los $38.491 millones, en comparación con
los $32.170 millones del año anterior."
.,2018,memoria,positivo,1,bupa chile,"“En 2018 desarrollamos inversiones por más de $42.000 millones
y cerramos el período con ingresos por sobre los $864 mil
millones, un alza de 9,3% respecto de 2017. Este resultado fue
gracias al desempeño y esfuerzo de cada uno de quienes componen
todas las áreas de la compañía.
En el ámbito hospitalario, continuamos siendo líderes en cada
una de las regiones en donde participamos, sumando más y
mejores servicios para los pacientes de Arica, Antofagasta y la
Región de Valparaíso. Mientras que en nuestra área de hospitalización
domiciliaria, se fijaron las bases para su desarrollo de la
mano de la capacitación y gestión."
.,2009,memoria,negativo,0,cap,"El ejercicio 2009 exigió al máximo nuestras capacidades de gestión, al tener que enfrentar las consecuencias de la
crisis financiera internacional que se desatara en Estados Unidos a partir de septiembre de 2008, y que se trasladó
rápidamente al sector productivo a nivel global con una intensidad no prevista inicialmente, afectando el consumo
de nuestros principales productos.
Según World Steel, la producción mundial de acero sumó 1.199 millones de TM en 2009, cayendo 10% respecto
de 2008. Sin embargo, el desempeño por regiones fue muy disímil. Mientras Norteamérica, Latinoamérica y
Europa anotaron bajas de 34%, 20% y 27% respectivamente, Asia creció 1%, fundamentalmente por China, que
creció 13%, estableciendo un nuevo récord al producir 568 millones de TM durante el año 2009, equivalente a 47%
de la producción global.
Lo anterior explica porqué los despachos de mineral de hierro de nuestra filial Compañía Minera del Pacífico S.A.,
(“CAP Minería”), luego de experimentar una fuerte disminución durante la primera mitad del año, mientras nuestros
clientes ajustaban sus inventarios, recuperaron su dinamismo a partir del tercer trimestre, logrando totalizar 10,1
millones de TM, un 40% superior a la cifra del año anterior. Los clientes chinos representaron un 62% del total
despachado.
Por su parte, nuestra filial siderúrgica, Compañía Siderúrgica Huachipato S.A., (“CAP Acero”), se vio afectada por
la caída en la actividad de sectores tan incidentes en la demanda de acero como la inversión, la construcción y el
consumo de bienes durables, reduciendo su nivel de actividad, al comenzar el año, al que prevalecía décadas antes.
A ello se sumó la necesaria adecuación de inventarios en poder de clientes, agudizándose el efecto negativo sobre
las ventas. A partir del mes de mayo, y hasta octubre, se observó una consistente recuperación de los negocios,
para terminar el ejercicio con un ajuste contractivo, consecuencia de una sobrereacción de los mercados frente a la
recuperación parcial de los precios. El año cerró con despachos de 921.909 TM, un 21% inferior a los alcanzados
en 2008. Un 99% de los despachos estuvieron destinados al mercado doméstico.
El precio promedio de venta a diciembre 2009 fue de US$ 699 por tonelada, representativo de una baja de 37%,
en línea con la drástica caída exhibida en los mercados internacionales luego de lo máximos históricos alcanzados
durante el año 2008.
El consumo aparente del mercado nacional de acero tuvo una baja de 34% respecto al consumo registrado el
2008, acusando todo el rigor de la crisis. A su vez, el mercado objetivo de CAP Acero se contrajo 31% durante el
ejercicio, correspondiéndole a la filial una participación en este último del 68%, la que creció 8 puntos respecto al
año anterior.
La severa reducción en los despachos físicos obligó a disminuir la producción de acero, deteniéndose la operación
del Alto Horno N°1, a partir de noviembre 2008, situación que se mantuvo durante todo el primer semestre,
reiniciando sus operaciones el 2 de julio pasado, ante la mejoría de la demanda doméstica. La producción de acero
terminado alcanzó durante el ejercicio a 954.916 TM, un 17% inferior a la del 2008. Por su parte, los inventarios de
productos de acero se lograron reducir a 95.685 TM, 47% inferiores a los del cierre del año anterior.
Los niveles de inventario que existían al momento de iniciarse la crisis y la rápida y pronunciada baja del precio
de venta, sumada a una lenta reducción del costo unitario promedio, debido a que los principales insumos están
regidos por contratos de vigencia anual, afectaron severamente el margen operacional y obligaron a efectuar un
ajuste al valor contable de los inventarios de acero y materias primas a mediados de año. Todo ello resultó en que
CAP Acero cerrara el año 2009 con una pérdida de US$ 76,7 millones.
El quehacer del año en CAP Acero estuvo dominado por los esfuerzos desplegados para contrarrestar los efectos
negativos de la crisis. Así, se postergó de manera indefinida el Plan de Aumento de Capacidad y se formuló un
Plan de Retiro para adecuar la dotación al menor nivel de producción. El programa tuvo buena acogida y significó
la desvinculación por renuncia voluntaria de cerca de 300 trabajadores que recibieron una oferta con condiciones
ventajosas para su retiro.
Al terminar probablemente el año más difícil de su existencia, el Grupo CAP puede exhibir una disminución de su
Endeudamiento Financiero Neto Consolidado a US$ 482,2 millones, por efecto de la reducción de las necesidades
de capital de trabajo, y exhibir a su vez una sólida posición de caja, la que alcanza US$ 387,3 millones, cifra
superior en US$ 8,7 millones a la exhibida al cierre de 2008, el mejor año de su historia. Esta sana posición
financiera es posible gracias a las políticas aplicadas desde hace algunos años de operar en un marco de amplia
liquidez y prefinanciar las inversiones"
.,2019,memoria,negativo,0,cap,"En lo relativo al negocio siderúrgico, Compañía Siderúrgica Huachipato enfrentó en 2019 un escenario de
altísima competencia internacional, que impidió que los precios del acero alcanzaran niveles adecuados
para sostener márgenes positivos en un mercado tan abierto como el chileno, mientras que al mismo
tiempo se observaron altos precios en el mineral de hierro, principal materia prima en el proceso de
producción de acero. Adicionalmente, durante el primer trimestre de 2019 la compañía siderúrgica se vio
afectada por el menor abastecimiento de pellets por parte de la compañía minera, y por la detención por
razones técnicas del Alto Horno Nro. 1, debiéndose poner en marcha anticipadamente el Alto Horno Nro.
2 en abril de 2019. Todo esto se tradujo directamente en un resultado operacional negativo de US$(80.5)
millones, que junto a un castigo de activos en desuso por US$(33.7) millones llevó a una pérdida neta
de US$(114.2) millones en el ejercicio.
Tal como mencionáramos el año pasado, las perspectivas del negocio de producción de acero se mantienen
inciertas, debido al exceso de capacidad productiva a nivel mundial, particularmente en China, por lo
que un ajuste de dicha capacidad y la extrema preocupación de las autoridades por la contaminación
en dicho país, podrían generar un ambiente de menor volatilidad en los precios del acero. En paralelo,
se continúan evaluando alternativas de optimización del negocio, desarrollando otras actividades que
permitan complementar los ingresos de la empresa operativa para lograr darle sostenibilidad a su operación.
Durante 2019 se avanzó en el desarrollo de un proyecto de gas natural de pequeña escala, que busca
satisfacer la demanda industrial, comercial y residencial de la región del Bío-Bío y otras zonas del sur de
Chile. En febrero de 2020, se ingresó la correspondiente Declaración de Impacto Ambiental al Sistema
de Evaluación, la que de ser aprobada, permitiría llevar a cabo el proyecto dentro de las instalaciones de
Compañía Siderúrgica Huachipato en la comuna de Talcahuano."
.,2010,memoria,negativo,0,chilectra,"Durante el año 2010 Chilectra obtuvo utilidades por $150.949 millones, cifra
que significó una disminución de 26% en comparación al año anterior. El margen de
contribución alcanzó los $228.953 millones, lo que implica un descenso de 6,2%,
debido, principalmente, al decreto N°320 de 14 de enero de 2009, que fija las Tarifas de
Subtransmisión.
Los costos fijos aumentaron $223 millones, producto de mayores retribuciones en
sueldos y salarios. Lo anterior se reflejó en un resultado operacional, respecto de las
operaciones locales, de $111.767 millones, cifra que representó un descenso de $17.264
millones, equivalente a una baja de 13,4%.
Producto de la coyuntura internacional, el resultado de las filiales en el exterior
disminuyó $22.640 millones, un 27,4% menor en relación al cierre de 2009. El menor
resultado se explica en mayor medida por Brasil, Argentina y Perú, cuya baja alcanza en
forma conjunta a los $22.375 millones. La diferencia restante está radicada en menores
resultados en Colombia."
.,2018,memoria,positivo,1,clinica las condes,"La Clínica Las Condes retomó en 2018 su camino de crecimiento. Ha sido un desafío importante en que se involucró a toda la organización y que enfrentamos con un intenso trabajo basado en tres pilares: A nivel financiero implementamos un plan de eficiencia, reestructuramos la deuda colocando exitosamente un bono de US$ 300 millones y mejoramos los ingresos por actividades ordinarias en un 12,6%.En la gestión continuamos alivianando la estructura, fijamos precios más competitivos, incorporamos 50 nuevos médicos, renovamos convenios con casi todas las isapres por tres años y cerramos negociaciones colectivas anticipadas con tres de nuestros sindicatos. Además, nuestra cartera de asegurados a través de nuestra filial Seguros CLC se incrementó en más de un 7%. Al mismo tiempo, seguimos creciendo: creamos el Centro de Simulación y Entrenamiento, que permite dotar de la mejor tecnología de entrenamiento en las áreas de Traumatología y Ortopedia y en todas las especialidades que requieran cirugía endoscópica. En 2018 recibimos 4.353 visitas en este Centro, quienes se han capacitado, ya sea entrenando en escenarios clínicos complejos o habilidades prácticas, permitiendo así otorgar una atención aún más segura y de vanguardia. Todo este trabajo se ve reflejado en un positivo desempeño financiero: la Clínica reportó utilidades por $3.868 millones en 2018. El Ebitda, en tanto, alcanzó $34.468 millones, lo que representa un incremento de $28.560 millones, equivalentes a un crecimiento de 483,4%, respecto al año anterior, cuando anotó $5.908 millones."
.,2010,memoria,positivo,1,consorcio,"Así, todas estas acciones nos permitieron escalar posiciones
dentro de la industria bancaria, subiendo desde el número 23 al
16 en tamaño de activos, los cuales llegaron a $ 555.329 millones
en 2010, cifra que significó un 578% de crecimiento en relación
a 2009 donde alcanzó los $ 96.131 millones. El Banco tuvo un
resultado operacional de $ 9.480 millones durante el ejercicio
2010 y las utilidades fueron de $ 8.029 millones. Asimismo, la
clasificación de riesgo del Banco mejoró durante el transcurso
del año, pasando de BBB+ a A, gracias a la base de diversificación
de sus ingresos y a su nueva estrategia de negocios.
Durante el presente ejercicio, Banco Consorcio estableció tres
líneas de negocios: Personas, Empresas y Finanzas. El segmento
Personas, con productos de financiamiento y medios de pago para
personas con renta fija, cuenta con un equipo de vendedores y
evaluadores, además de todo el soporte necesario. Durante el año
2010 logró un crecimiento de 10.2% en colocaciones de consumo
totalizando $77.756 millones en préstamos a personas."
.,2012,memoria,negativo,0,consorcio,"La utilidad consolidada de Banco Consorcio acumulada
a diciembre de 2012, fue de $8.560 millones, un 2%
inferior a los $8.769 millones, obtenidos al mismo
período del año anterior. Esta variación se explica
principalmente por un menor resultado de Finanzas
y por un aumento en los gastos fijos de apoyo, lo que
fue parcialmente compensado por un mayor margen
operacional de la Banca Empresas y por un menor
impuesto a la renta.
El margen de Finanzas se redujo en un 11,2%, en
relación al año anterior, pasando de $13.654 millones
a $12.118 millones, explicado principalmente por un
menor devengo neto asociado a las cartera de renta
fija, el que pasó de $11.947 millones en 2011 a
$8.035 millones en 2012. Este devengo fue
principalmente afectado por un menor reajuste de la
posición neta positiva UF/Pesos. Cabe destacar que
la inflación acumulada a diciembre de 2012, fue tan
solo de 2,5%, mientras que el año anterior ésta había
sido de 3,9%. Otro factor que afectó negativamente el
devengo neto, fue que el Banco vio aumentados sus
costos de financiamiento. Si bien el spread que paga
el Banco a sus acreedores, como premio al riesgo,
ha ido disminuyendo, la tasa de política monetaria
promedio en 2011 fue de 4,75%, mientras que al año
2012, ésta promedió 5%, lo que llevó que el Banco,
en términos netos pagará más por el financiamiento,
en relación al año anterior. Todo lo anterior fue en parte
atenuado por una cartera “disponible para la venta” de
$75.875 millones mayor, es decir, un 17% más que la del
cierre del año anterior, lo que generó un mayor devengo
bruto.
El menor devengo neto de carteras se contrarrestó
parcialmente por un aumento en las utilidades de trading
que pasaron de $1.067 millones a $3.633 millones."
.,2013,memoria,positivo,1,consorcio,"Banco Consorcio, en su cuarto año de vida, continuó
desarrollando y consolidando su estrategia para convertirse
en un actor relevante en la entrega de servicios financieros
en el país. Entre los logros concretos del ejercicio, destaca
el importante crecimiento de sus utilidades por 141% para
alcanzar los $20.919 millones, equivalentes a US$ 40
millones y logrando así un retorno sobre patrimonio mayor
al 12%, cifra superior a lo presupuestado en más de 35%. En
el período Consorcio Financiero materializó dos aumentos
de capital por un total de $24.407 millones, con lo que el
Banco al cierre de 2013 alcanzó un patrimonio de $199.509
millones, lo que a su vez representa un 30,9% del patrimonio
de Consorcio Financiero. De esta manera se evidencia la
estrategia de alta capitalización, la que se puede observar
en un índice de Basilea de 20,6% al cierre del año, el que
se compara muy favorablemente con 13,3% de promedio de
la industria y permite proyectar el crecimiento sobre bases
solventes.
En Banca Empresas se continuó con el fuerte desarrollo de
nuestro negocio corporativo e inmobiliario, con formación de
equipos comerciales y d e apoyo con experiencia relevante
en la industria y logrando un crecimiento de más de 121%,
para alcanzar más de $622.000 millones en colocaciones
a empresas. Este importante nivel de actividad comercial
permitió un crecimiento agregado de más de 87% en
colocaciones totales a clientes, lo que representa 8 veces la
tasa de crecimiento de la industria, mejorando además de
esa manera el mix de activos aumentando la importancia
relativa de las colocaciones hasta un 55% de los activos.
Entretanto, el riesgo de las colocaciones, medido como
el índice de provisiones/colocaciones, mantuvo un nivel
decreciente durante el ejercicio para cerrar en 2%.
En Banca Personas se desarrolló un nuevo canal
hipotecario que permitirá ampliar nuestro mercado objetivo,
incorporando a segmentos medios. En colocaciones se
registró un crecimiento de 53% en colocaciones nuevas para
vivienda, superando los $100.000 millones de originación
durante el período. Además durante el año se produjo el
lanzamiento de la Cuenta Preferente On Line y abierta,
producto que permite ofrecer a nuevos clientes y mediante
comercialización completamente por Internet, un medio de
pago y ahorro electrónico para administrar saldos a la vista,
girar en cajeros automáticos, pagar en comercios Transbank,
efectuar y recibir transferencias electrónicas. Esto implicó la
puesta en producción de importantes proyectos tecnológicos
y operativos tales como nuestra conectividad en línea
con Servipag y Redbanc, lanzamiento que además estuvo
acompañado de la ejecución de primera campaña masiva de
publicidad con presencia en radio y prensa, generando más
de 10.000 activaciones de este nuevo producto.
En materia de Inversiones y Finanzas, el banco obtuvo un
excelente resultado del negocio financiero, marcado por
las acertadas decisiones de inversión y el correcto manejo
de los descalces, generando más de $9.000 millones de
margen sobre el plan. Hubo además importante avances
en diversificación de pasivos, con aumento de captaciones a
empresas de 5% a 15% de los depósitos totales y la colocación
de nuestros primeros bonos bancarios senior por UF3,5
millones, los que tuvieron una demanda equivalente a 2.8
veces el monto ofrecido y fueron colocados a un spread muy
competitivo inferior a 130bps sobre los bonos soberanos."
.,2014,memoria,positivo,1,consorcio,"Banco Consorcio, en su quinto año de vida, continuó desarrollando
y consolidando su estrategia para convertirse en un actor relevante
en la entrega de servicios financieros en el país. Entre los logros
concretos del ejercicio, destaca el importante crecimiento de sus
utilidades en un 106,2% alcanzando los $43.129 millones, equivalentes
a US$ 71 millones y logrando así un retorno sobre patrimonio mayor
al 19%, cifra superior a lo presupuestado en más de 63%. En el
período Consorcio Financiero materializó dos aumentos de capital
Entre los logros concretos del ejercicio, destaca el importante crecimiento de sus
utilidades en un 106,2% alcanzando los $43.129 millones, equivalentes a US$ 71 millones
y logrando así un retorno sobre patrimonio mayor al 19%.
por un total de $41.555 millones, con lo que el Banco al cierre de
2014 alcanzó un patrimonio de $255.367 millones, lo que a su vez
representa un 36,8% del patrimonio de Consorcio Financiero. De
esta manera se evidencia la estrategia de alta capitalización, la que se
puede observar en un índice de Basilea de 18,6% al cierre del año, el
que se compara muy favorablemente con el 13,4% de promedio de la
industria y permite proyectar el crecimiento sobre bases solventes.
En Banca Empresas se continuó con el fuerte desarrollo del negocio
corporativo e inmobiliario, consolidando los equipos comerciales y
de apoyo con experiencia relevante en la industria y logrando un
crecimiento de más de 70%, para alcanzar más de $936.230 millones
en colocaciones a empresas. Este importante nivel de actividad
comercial permitió un crecimiento agregado de más de 59,2% en
colocaciones totales a clientes, lo que representa 11,9 veces la tasa
de crecimiento de la industria, lo que permitió mejorar el mix de
activos aumentando la importancia relativa de las colocaciones hasta
un 53,7% de los activos. Entretanto, el riesgo de las colocaciones,
medido como el índice de provisiones/colocaciones, mantuvo un
nivel decreciente durante el ejercicio para cerrar en 1,8%.
En colocaciones para vivienda se registró un crecimiento de 13,5%,
superando los $95.000 millones de originación durante el período.
Además se robusteció la Cuenta Preferente con la integración a la red
de cajeros automáticos Redbanc a nivel nacional y la implementación
de los servicios Servipag y Webpay. Durante este año, también se
realizó una segunda campaña masiva de publicidad que permitió
superar las 26.000 cuentas vigentes."
.,2015,memoria,positivo,1,consorcio,"Sobre la base de una activa gestión de su Banca Empresas
y de un año récord en colocaciones hipotecarias -con
un aumento de UF 4,6 millones-, Banco Consorcio
creció a tasas superiores a las del mercado. Fue así que
las colocaciones del Banco aumentaron 33,2% en 2015
comparado con el ejercicio previo, casi tres veces la tasa
de la industria en igual período.
Las colocaciones totales a clientes se situaron en $1.616.788
millones, impulsadas por un alza de 36,8% en la cartera
de empresas y una mayor venta de 14,8% de créditos
de consumo en doce meses y de 25,7% en créditos para
vivienda. Los activos consolidados, en tanto, alcanzaron a
$2.712.078 millones, 58,6% de los cuales correspondieron
a colocaciones. De esta forma, 71,1% del margen se
originó en la gestión comercial de la entidad, resultado
que disminuyó la incidencia que la inversión había tenido
en ambos indicadores en años anteriores.
De igual forma, en 2015 el Banco implementó 23 Sucursales
Virtuales a lo largo del país en oficinas propias y de
Consorcio Vida. A través de ellas, al cierre del ejercicio ya
se realizaban más de mil atenciones mensuales, con niveles
de satisfacción superiores a 90,0% (bueno y muy bueno).
Este nuevo modelo de atención a distancia permite tomar
los requerimientos de los clientes en tiempo real por un
ejecutivo ubicado físicamente en Santiago.
Así, la Banca Personas de Banco Consorcio creció 25,7%
en colocaciones hipotecarias, otorgando durante el año
créditos nuevos por $127.623 millones, y en créditos de
consumo cerró con $70.868 millones en colocaciones, lo
que representa un aumento del 4,1% respecto del año
anterior."
